Feature1,Feature2,Correlation,Notes
domestic_gross,tn_domestic_gross,0.9999968487409608,
foreign_gross,tn_worldwide_gross,0.9846127243921132,
tn_worldwide_gross,profit,0.9834047206414214,
foreign_gross,profit,0.968831054763326,
tn_domestic_gross,tn_worldwide_gross,0.9489316755504236,
tn_domestic_gross,profit,0.9476694040050568,
domestic_gross,tn_worldwide_gross,0.9469385085726642,
domestic_gross,profit,0.9438893248636606,
foreign_gross,tn_domestic_gross,0.8817410525828627,
domestic_gross,foreign_gross,0.8748853251892462,
foreign_gross,tn_production_budget,0.8461306107879952,
tn_production_budget,tn_worldwide_gross,0.8146023577390198,
domestic_gross,tn_production_budget,0.7733169044252787,
tn_production_budget,tn_domestic_gross,0.7632901391545521,
foreign_gross,log_profit,0.7259397334029878,
tn_domestic_gross,log_profit,0.7208863359623278,
domestic_gross,log_profit,0.7037465062073471,
numvotes,tn_worldwide_gross,0.6988801982020801,
tn_production_budget,profit,0.6958535075945416,
numvotes,domestic_gross,0.6928335176134321,
numvotes,tn_domestic_gross,0.6752202502241117,
numvotes,profit,0.6667405166890354,
numvotes,foreign_gross,0.6587498997828176,
numvotes,tn_production_budget,0.6349929207401125,
tn_production_budget,log_profit,0.6010973512182927,
tn_worldwide_gross,log_profit,0.5813106143132556,
tn_domestic_gross,profit_proportion,0.5633950365894056,
isgenre_musical,isgenre_music,0.5448127279518701,
profit,log_profit,0.5438291313532178,
domestic_gross,profit_proportion,0.5165259194243615,
foreign_gross,isgenre_adventure,0.5119521771370837,
numvotes,log_profit,0.5117895576150768,
tn_production_budget,isgenre_adventure,0.5074227195649509,
profit,profit_proportion,0.48578193737592945,
foreign_gross,profit_proportion,0.47075848304367807,
tn_domestic_gross,isgenre_adventure,0.4705501506952766,
domestic_gross,isgenre_adventure,0.45775764856597495,
tn_worldwide_gross,profit_proportion,0.4487403939238016,
tn_worldwide_gross,isgenre_adventure,0.40714028391932283,
profit_proportion,log_profit,0.4051413859751264,
isgenre_animation,isgenre_adventure,0.397348054891425,
tn_production_budget,isgenre_action,0.3737114273617289,
numvotes,profit_proportion,0.3708121639807687,
isgenre_adventure,log_profit,0.36779670022465333,
foreign_gross,isgenre_action,0.3541309940686791,
profit,isgenre_adventure,0.34540576833946324,
foreign_gross,isgenre_sci-fi,0.3445178976256429,
averagerating,tn_domestic_gross,0.3273550007465484,
runtime_minutes,foreign_gross,0.3233206551743487,
domestic_gross,isgenre_sci-fi,0.32041573652268457,
tn_domestic_gross,isgenre_sci-fi,0.315780029188197,
isgenre_action,isgenre_adventure,0.3140051371834569,
averagerating,numvotes,0.30015548871075043,
tn_domestic_gross,isgenre_action,0.29998973840989823,
runtime_minutes,tn_domestic_gross,0.29841767914203327,
isgenre_action,log_profit,0.29830040313865874,
averagerating,domestic_gross,0.2959213444665736,
numvotes,isgenre_sci-fi,0.29160830115100506,
isgenre_horror,isgenre_mystery,0.28842475773287735,
numvotes,isgenre_adventure,0.2850816393394958,
tn_worldwide_gross,isgenre_action,0.28320745096542965,
runtime_minutes,numvotes,0.2725931026577227,
averagerating,foreign_gross,0.2722887433510965,
runtime_minutes,tn_production_budget,0.2715760379238039,
domestic_gross,isgenre_action,0.268346861294331,
tn_production_budget,isgenre_sci-fi,0.2623364505964814,
numvotes,isgenre_action,0.2621375154124264,
runtime_minutes,averagerating,0.26066408769721294,
runtime_minutes,isgenre_drama,0.2355577078207,
runtime_minutes,log_profit,0.23419652327312512,
tn_worldwide_gross,isgenre_sci-fi,0.23416719472502942,
profit,isgenre_action,0.2337752233108276,
runtime_minutes,tn_worldwide_gross,0.22787890114750534,
runtime_minutes,domestic_gross,0.22467900014319858,
tn_domestic_gross,isgenre_animation,0.22406786000380532,
tn_production_budget,profit_proportion,0.22331446123329407,
isgenre_drama,isgenre_biography,0.21517852108663899,
runtime_minutes,isgenre_action,0.214462071502177,
domestic_gross,isgenre_animation,0.21279231254780204,
isgenre_history,isgenre_biography,0.21051543701342895,
averagerating,isgenre_drama,0.20812968367445803,
profit,isgenre_sci-fi,0.20789046800532887,
averagerating,profit_proportion,0.20023360510940966,
runtime_minutes,profit,0.19704019462433425,
isgenre_sci-fi,log_profit,0.19533943786366534,
foreign_gross,isgenre_animation,0.18876987819721783,
averagerating,tn_worldwide_gross,0.17631345579134092,
isgenre_drama,isgenre_history,0.17558252595254623,
isgenre_action,isgenre_sci-fi,0.1755570070639457,
averagerating,profit,0.17469414816125692,
isgenre_thriller,isgenre_horror,0.17061384210566627,
isgenre_action,isgenre_crime,0.16970081459723416,
tn_production_budget,isgenre_animation,0.16710079962851265,
isgenre_animation,log_profit,0.16316538862446733,
averagerating,isgenre_documentary,0.16156822388944,
averagerating,isgenre_biography,0.1577515953805995,
tn_production_budget,isgenre_fantasy,0.15394962420690309,
isgenre_comedy,isgenre_animation,0.14797444942397622,
isgenre_thriller,isgenre_mystery,0.14447765220766873,
runtime_minutes,isgenre_history,0.14425546137557382,
tn_worldwide_gross,isgenre_animation,0.1423948353849028,
profit_proportion,isgenre_adventure,0.1410470126716015,
averagerating,tn_production_budget,0.13957355495454418,
isgenre_romance,isgenre_drama,0.13030225602215206,
foreign_gross,isgenre_fantasy,0.12490664903146494,
profit,isgenre_animation,0.12404633987845673,
isgenre_fantasy,log_profit,0.1219267412592878,
isgenre_family,isgenre_adventure,0.12125028580219153,
isgenre_fantasy,isgenre_adventure,0.12066008583696046,
runtime_minutes,profit_proportion,0.12053944760507607,
isgenre_sport,isgenre_biography,0.12039434636248003,
isgenre_adventure,isgenre_sci-fi,0.11977994046049992,
tn_worldwide_gross,isgenre_fantasy,0.119470604463794,
isgenre_romance,isgenre_comedy,0.11829699731737789,
averagerating,log_profit,0.116584500596502,
profit_proportion,isgenre_comedy,0.10699039024742256,
isgenre_fantasy,isgenre_family,0.1048588840949547,
domestic_gross,isgenre_family,0.10427913002353385,
runtime_minutes,isgenre_biography,0.1027847431622457,
isgenre_mystery,isgenre_crime,0.10028671166228836,
isgenre_drama,isgenre_fantasy,-0.10335531454320293,
foreign_gross,isgenre_comedy,-0.10369264082726397,
isgenre_fantasy,isgenre_crime,-0.10451011788136534,
domestic_gross,isgenre_horror,-0.1046982748461918,
isgenre_adventure,isgenre_biography,-0.1053475575441906,
isgenre_thriller,isgenre_fantasy,-0.10636991272777797,
isgenre_horror,isgenre_biography,-0.10639697563327442,
foreign_gross,isgenre_horror,-0.10660025256495523,
tn_production_budget,isgenre_horror,-0.10708327170537145,
isgenre_action,isgenre_music,-0.10784867890467811,
isgenre_romance,isgenre_thriller,-0.1097536761890285,
isgenre_animation,isgenre_crime,-0.10992140944467295,
isgenre_history,isgenre_adventure,-0.1104273842152876,
foreign_gross,isgenre_crime,-0.11045398449831591,
runtime_minutes,isgenre_horror,-0.11173175506167059,
isgenre_thriller,isgenre_animation,-0.11181255078940192,
isgenre_thriller,isgenre_biography,-0.11287708607274155,
tn_production_budget,isgenre_romance,-0.11461198005429916,
isgenre_action,isgenre_horror,-0.11464419972314717,
domestic_gross,isgenre_biography,-0.11481693374849485,
start_year,numvotes,-0.11520173599442372,
isgenre_action,isgenre_documentary,-0.11672144308479725,
tn_domestic_gross,isgenre_romance,-0.11751633002809862,
domestic_gross,isgenre_crime,-0.1178654273270823,
tn_domestic_gross,isgenre_crime,-0.11894966045533939,
start_year,profit_proportion,-0.11912672370524491,
isgenre_drama,isgenre_horror,-0.12083552918311688,
isgenre_comedy,isgenre_sci-fi,-0.12092483674265506,
profit_proportion,isgenre_drama,-0.12101359732908817,
isgenre_drama,isgenre_thriller,-0.12117506781538462,
domestic_gross,isgenre_romance,-0.12400367859009999,
tn_domestic_gross,isgenre_biography,-0.12576823492618616,
isgenre_action,isgenre_mystery,-0.12767897236692322,
isgenre_comedy,isgenre_documentary,-0.1283712210990929,
tn_domestic_gross,isgenre_horror,-0.12936798724188497,
isgenre_mystery,isgenre_adventure,-0.13120857636330893,
isgenre_action,isgenre_family,-0.13216642222618033,
runtime_minutes,isgenre_comedy,-0.1338458575359159,
foreign_gross,isgenre_romance,-0.13421646125220596,
isgenre_drama,isgenre_sci-fi,-0.13553724040206178,
isgenre_comedy,isgenre_horror,-0.13737343279305264,
isgenre_drama,log_profit,-0.13836508492608052,
isgenre_romance,isgenre_crime,-0.13948891209756226,
isgenre_action,isgenre_biography,-0.142567723913188,
isgenre_thriller,isgenre_adventure,-0.14264818947689029,
isgenre_horror,isgenre_adventure,-0.14298496159397495,
isgenre_adventure,isgenre_crime,-0.14348041327428956,
isgenre_comedy,isgenre_biography,-0.1443045512804451,
isgenre_comedy,isgenre_mystery,-0.14432281594585233,
isgenre_history,isgenre_comedy,-0.151701591425864,
foreign_gross,isgenre_biography,-0.15514185979317727,
isgenre_action,isgenre_comedy,-0.1579415209719636,
isgenre_romance,isgenre_adventure,-0.15938159525180748,
profit,isgenre_drama,-0.1646075677417648,
averagerating,isgenre_horror,-0.17776411103770062,
tn_worldwide_gross,isgenre_drama,-0.18531470659400073,
isgenre_documentary,log_profit,-0.18715598020465551,
isgenre_romance,isgenre_action,-0.18886888054099546,
runtime_minutes,isgenre_animation,-0.19017576995203656,
isgenre_drama,isgenre_documentary,-0.20315406722809592,
tn_production_budget,isgenre_drama,-0.20732691978471468,
runtime_minutes,isgenre_documentary,-0.20890842357777797,
isgenre_drama,isgenre_action,-0.22146017326719833,
isgenre_drama,isgenre_comedy,-0.22829754220188517,
isgenre_drama,isgenre_animation,-0.23324015784734678,
isgenre_thriller,isgenre_comedy,-0.2411434966409082,
tn_domestic_gross,isgenre_drama,-0.27470206972510575,
domestic_gross,isgenre_drama,-0.292182325801007,
foreign_gross,isgenre_drama,-0.3115119129239342,
isgenre_drama,isgenre_adventure,-0.32224509247170197,
