,profit,profit_proportion,tn_production_budget,averagerating,numvotes
romance,-0.06958487379355714,0.04103447255954645,-0.11788771451517233,0.0016036703303646661,-0.07523847512027537
history,-0.046188440798291874,-0.06268560738151135,-0.024004444506703238,0.09913168756261832,-0.03891456837526553
mystery,-0.051156002761622146,0.03656051912152779,-0.09472275731948614,-0.05825466082854712,-0.0025303219610133916
family,0.02935057578522058,0.0162571227598108,0.04166816669314492,-0.07234435013053253,-0.04762421898111353
comedy,-0.03154964062319502,0.09142345995218179,-0.03752730365991638,-0.07484189130020713,-0.052559290484508706
documentary,-0.04750268877905391,-0.04092303276770669,-0.09135257704935598,0.15083709290372443,-0.08125624639615314
fantasy,0.09170714880568964,0.002203346061554223,0.14961187773676932,-0.05287704084079823,0.06285530390897438
animation,0.10768198196910823,0.07567936544164264,0.15429577881034326,0.03940806606679551,-0.0020214331202971546
action,0.2269449369150154,0.07698207249980676,0.366881743082655,-0.053075243886072335,0.24999277830096067
drama,-0.15648283952614053,-0.09634810114105448,-0.20974635183554396,0.21492025910962317,-0.07211104233837018
crime,-0.054098365786630666,-0.044802521744652914,-0.050926667721798234,0.03142615350859854,0.023508278705621402
biography,-0.06348361848511733,-0.042812349433228744,-0.043239160981969386,0.15485194707407104,-0.015542452597479479
horror,-0.05392301471154212,0.04292771368485537,-0.10658106268945727,-0.16747509556455376,-0.04080851959944648
music,-0.028916134967532783,-0.002565643642477244,-0.04904588563593842,0.04702300285381589,-0.03377111001066805
sci-fi,0.20474036775965682,0.04946175541004184,0.250319677549794,-0.05573665978367901,0.27772325668307857
thriller,-0.03483219300037914,0.0035157350660102683,-0.054768283976653495,-0.05846251366118488,-0.010701571781350196
adventure,0.33149349236668496,0.12373644792600834,0.5027490503250778,0.0013367530072988139,0.2703908958398294
